Method,Run,Latency (s),Peak RAM (MB),Peak VRAM (MB)
Grad-CAM,88,0.051007694999952946,0.3930320739746094,0.0
Grad-CAM,89,0.050974619000044186,0.3932456970214844,0.0
Grad-CAM,90,0.050901153000268096,0.3930320739746094,0.0
Grad-CAM,91,0.05340669799988973,0.3930320739746094,0.0
Grad-CAM,92,0.05225413300013315,0.3930320739746094,0.0
Grad-CAM,93,0.05548982400023306,0.3930320739746094,0.0
Grad-CAM,94,0.055364823000218166,0.3932456970214844,0.0
Grad-CAM,95,0.05638324100027603,0.3930320739746094,0.0
Grad-CAM,96,0.05443362000005436,0.3930320739746094,0.0
Grad-CAM,97,0.052139541000087775,0.3930320739746094,0.0
Grad-CAM,98,0.051214185999924666,0.3930320739746094,0.0
Grad-CAM,99,0.05091764200005855,0.3932456970214844,0.0
Grad-CAM,100,0.05106700800024555,0.3930320739746094,0.0
